Year,Month,Type,ICEV,HEV,PHEV,HEV & PHEV,BEV,Total xEV,Not Specific,Other,Total
2562,04,Truck,4080,0,0,0,0,0,0,1427,5507
2562,05,Three Wheeler,10,0,0,0,0,0,0,0,10
2562,05,Truck,4611,0,0,0,0,0,0,1486,6097
2562,05,Passenger Car and Pickup Truck,91643,0,0,2320,22,2342,3,0,91668
2562,05,Mini MPV,4,0,0,0,0,0,0,0,4
2562,05,Bus,852,0,0,0,2,2,0,0,854
2562,06,Mini MPV,3,0,0,0,0,0,0,0,3
2562,06,Passenger Car and Pickup Truck,85197,0,0,2315,33,2348,1,0,85231
2562,06,Three Wheeler,17,0,0,0,0,0,0,0,17
2562,06,Truck,3933,0,0,0,0,0,0,1269,5202
2562,06,Bus,822,0,0,0,10,10,0,0,832
2562,07,Bus,1143,0,0,0,0,0,0,0,1143
2562,07,Mini MPV,2,0,0,0,0,0,0,0,2
2562,07,Passenger Car and Pickup Truck,84963,0,0,2110,4,2114,2,0,84969
2562,07,Three Wheeler,16,0,0,0,1,1,0,0,17
2562,07,Truck,4818,0,0,0,0,0,0,1622,6440
2562,08,Three Wheeler,19,0,0,0,25,25,0,0,44
2562,08,Truck,4790,0,0,0,0,0,0,1685,6475
2562,08,Mini MPV,4,0,0,0,0,0,0,0,4
2562,08,Passenger Car and Pickup Truck,85811,0,0,2484,22,2506,2,0,85835
2562,08,Bus,1182,0,0,0,1,1,0,0,1183
2562,09,Passenger Car and Pickup Truck,78631,0,0,2394,42,2436,2,0,78675
2562,09,Truck,4112,0,0,0,0,0,1,1335,5448
2562,09,Bus,1032,0,0,0,1,1,0,0,1033
2562,09,Mini MPV,5,0,0,0,0,0,0,0,5
2562,09,Three Wheeler,17,0,0,0,0,0,0,0,17
2562,10,Bus,1283,0,0,0,4,4,0,0,1287
2562,10,Mini MPV,1,0,0,0,0,0,0,0,1
2562,10,Passenger Car and Pickup Truck,78151,0,0,2431,174,2605,0,0,78325
2562,10,Three Wheeler,16,0,0,0,6,6,0,0,22
2562,10,Truck,4588,0,0,0,0,0,0,1552,6140
2562,11,Three Wheeler,9,0,0,0,1,1,0,0,10
2562,11,Truck,4212,0,0,0,0,0,0,1398,5610
2562,11,Passenger Car and Pickup Truck,66680,0,0,2133,234,2367,2,0,66916
2562,11,Mini MPV,0,0,0,0,0,0,0,0,0
2562,11,Bus,879,0,0,0,2,2,0,0,881
2562,12,Mini MPV,1,0,0,0,0,0,0,0,1
2562,12,Passenger Car and Pickup Truck,41999,0,0,1367,147,1514,1,0,42147
2562,12,Three Wheeler,6,0,0,0,2,2,0,0,8
2562,12,Truck,3546,0,0,0,0,0,1,939,4486
2562,12,Bus,949,0,0,0,1,1,0,0,950
2562,Total,Truck,51512,0,0,0,0,0,2,16970,68484
2562,Total,Three Wheeler,159,0,0,0,57,57,0,0,216
2562,Total,Passenger Car and Pickup Truck,991566,0,0,26447,691,27138,18,0,992275
2562,Total,Mini MPV,24,0,0,0,0,0,0,0,24
2562,Total,Bus,12242,0,0,0,33,33,0,0,12275
2563,01,Mini MPV,2,0,0,0,0,0,0,0,2
2563,01,Bus,900,0,0,0,0,0,0,1,901
2563,01,Truck,4362,0,0,0,0,0,1,1302,5665
