X,Y,Name,Dealership,Address,Latitude,Longitude,Provider,Power
98.39081,7.90744,MG ภูเก็ตปิยะ,Dealership,5/2 หมู่3 ถนนเทพกษัตรี ตำบลรัชดา อำเภอเมืองภูเก็ต จังหวัดภูเก็ต 83000,7.90744,98.39081,MG,
99.022349,18.604036,MG นอร์ทพอยท์ ลำพูน,Dealership,53/1 หมู่ที่ 10 ถนนเชียงใหม่-ลำพูน ตำบลเหมืองง่า อำเภอเมืองลำพูน จังหวัดลำพูน 51000,18.604036,99.022349,MG,
98.980497,18.767945,MG เบส ออโต้เซลส์ สาขามหิดล,Dealership,4/9 ถนนมหิดล ตำบลป่าแดด อำเภอเมือง จังหวัดเชียงใหม่ 50100,18.767945,98.980497,MG,
104.837722,15.3035,MG ศรีเมืองยนต์อุบล,Dealership,92 หมู่ที่ 19 ตำบลขามใหญ่ อำเภอเมือง จังหวัดอุบลราชธานี 34000,15.3035,104.837722,MG,
101.12126,15.21224,MG ลำนารายณ์,Dealership,59/2 หมู่ที่ 1 ตำบลชัยนารายณ์ อำเภอชัยบาดาล จังหวัดลพบุรี 15130,15.21224,101.12126,MG,
99.961906,12.55232,MG ออโต้ แกลเลอรี่,Dealership,2/259 ซอยหมู่บ้านหนองแก ถนนเพชรเกษม ตำบลหนองแก อำเภอหัวหิน จังหวัดประจวบคีรีขันธ์ 77110,12.55232,99.961906,MG,
101.09723,13.055799,MG ชลบุรี ออโต้เซลส์,Dealership,6/10 หมู่ 6 ตำบลบ่อวิน อำเภอศรีราชา จังหวัดชลบุรี 20230,13.055799,101.09723,MG,
100.805236,13.80984,MG กรุงเทพ,Dealership,89 หมู่ 8 ถนนสุวินทวงศ์ แขวงโคกแฝด เขตหนองจอก กรุงเทพมหานคร 10530,13.80984,100.805236,MG,
102.817484,17.410495,MG อุดรธานี (สาขาบายพาส),Dealership,99 หมู่ 5 ซอยบ้านดงอุดม ตำบลหมากแข้ง อำเภอเมืองอุดรธานี จังหวัดอุดรธานี 41000,17.410495,102.817484,MG,
102.754242,17.836756,MG พิจิตรเพชร หนองคาย,Dealership,199 หมู่ 2 ถนนมิตรภาพ ตำบลโพธิ์ชัย  อำเภอเมือง จังหวัดหนองคาย 43000,17.836756,102.754242,MG,
100.633998,14.065101,MG เคพี ออโต้ คลองหลวง,Dealership,96/63 หมู่ที่ 7 ตำบลคลองสอง อำเภอคลองหลวง จังหวัดปทุมธานี 12120,14.065101,100.633998,MG,
