X,Y,Name,description,Name_EN,Power,Code,Address,Latitude,Longitude,Provider
99.50108977,14.05404642,ปตท ท่ามะขาม,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Tha Makham,120 kW,GWC-OR-0077,116/2 ม.5 ต.ท่ามะขาม อ.เมืองกาญจนบุรี กาญจนบุรี 71000,14.05404642,99.50108977,PTT
100.6213884,13.61549338,ปตท ศรีนครินทร์ บางเมือง,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Srinakarin - Bang Mueang,120 kW,GWC-OR-0106,299/9 ม.5 ถ.ศรีนครินทร์ ต.บางเมือง อ.เมืองสมุทรปราการ สมุทรปราการ 10270,13.61549338,100.6213884,PTT
99.3149428101423,9.10267223074176,ปตท บจ.ก.กิจบายพาส,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)","PTT K. Kit Bypass Co., Ltd",120 kW,GWC-OR-0142,14/26 ม.3 ถ.เลี่ยงเมือง ต.มะขามเตี้ย อ.เมืองสุราษฎร์ธานี สุราษฎร์ธานี 84000,9.10267223074176,99.3149428101423,PTT
103.5159732,14.9262424,ปตท บจ.สุรินทร์ พาวเวอร์พอยท์,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)","PTT Surin Power Point Co., Ltd",120 kW,GWC-OR-0144,244 ม.8 ต.แกใหญ่ อ.เมืองสุรินทร์ สุรินทร์ 32000,14.9262424,103.5159732,PTT
99.15273468,9.427177293,ปตท ไชยา (ขาขึ้น),"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Chaiya (In),120 kW,GWC-OR-0065,26/2 ม.5 ต.ป่าเว อ.ไชยา สุราษฎร์ธานี 84110,9.427177293,99.15273468,PTT
100.2378731,13.5429844,ปตท บจ.ท่าจีนรุ่งเรืองปิโตรเลียม,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Thachin Rungrueang Petroleum,120 kW,GWC-OR-0054,88 ม.2 ต.บางกระเจ้า อ.เมืองสมุทรสาคร สมุทรสาคร 74000,13.5429844,100.2378731,PTT
102.05377862325,14.9901866967948,ปตท บจ.อาทิตย์ ไฮเวย์,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","PTT Arthit Highway Co., Ltd",120 kW,GWC-OR-0210,331 หมู่ 1 ตำบลปรุใหญ่ อำเภอเมืองนครราชสีมา นครราชสีมา 30000,14.9901866967948,102.05377862325,PTT
99.97192449,12.79909231,ปตท ชะอำ,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Cha Am,120 kW,GWC-OR-0072,499/1 ถ.เพชรเกษม(ชะอำ) ต.ชะอำ อ.ชะอำ เพชรบุรี 76120,12.79909231,99.97192449,PTT
101.655647,17.878809,ปตท เชียงคาน,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",PTT Chiang Khan,120 kW,GWC-OR-1017,11 ม.6 ต.เชียงคาน อ.เชียงคาน เลย 42110,17.878809,101.655647,PTT
102.501947,12.263141,ปตท บจ.เติมเต็มปิโตรเลีย,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Term Tem Petroleum,120 kW,GWC-OR-0126,174 ม.2 ต.วังกระแจะ อ.เมืองตราด ตราด 23000,12.263141,102.501947,PTT
