X,Y,Name,description,Power,Address,Latitude,Longitude,Provider
99.534364,14.016689,PT บ้านใต้,2x CCS2 60 kW,60 kW,144 ถนนแสงชูโต ตำบลบ้านใต้ อำเภอเมืองกาญจนบุรี จังหวัดกาญจนบุรี 71000,14.016689,99.534364,EleX
100.147765,15.397363,PT พยุหะคีรี 2,2x CCS2 60 kW,60 kW,75 หมู่ที่8 ตำบลม่วงหัก อำเภอพยุหะคีรี จังหวัดนครสวรรค์ 60130  ,15.397363,100.147765,EleX
101.385312,14.658708,PT ปากช่อง 3,2x CCS2 60 kW,60 kW,172/7 หมู่ที่7 ตำบลหนองน้ำแดง อำเภอปากช่อง จังหวัดนครราชสีมา 30130,14.658708,101.385312,EleX
100.934508,13.247961,PT บางพระ,2x CCS2 60 kW,60 kW,641/3 ถนนสุขุมวิท ตำบลเหมือง อำเภอเมืองชลบุรี จังหวัดชลบุรี 20130,13.247961,100.934508,EleX
100.511995,13.761954,ทำเนียบรัฐบาล (สำหรับข้าราชการและผู้มาติดต่อราชการ),"Type2 22 kW
Type2 22 kW
CCS2 60 kW, CHAdeMO 60 kW",60 kW,1 Phitsanulok Road Dusit District 10300,13.761954,100.511995,EleX
100.607626,13.967912,EVX,2x CCS2 60 kW,60 kW,186 5 พหลโยธิน 87 ซ. 6 ตำบล ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130,13.967912,100.607626,EleX
100.506343,13.810481,ตึกผู้ว่าการฯ สำนักงานกลาง กฟผ.,"CCS2 50 kW, CHAdeMO 50 kW, Type2 22 kW",50 kW,53 หมู่ 2 ถ.จรัญสนิทวงศ์ ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130,13.810481,100.506343,EleX
98.939909,18.757285,ERDI-CMU สถาบันฯ พลังงาน มช.,"CCS2 50 kW, CHAdeMO 50 kW, Type2 22 kW",50 kW,155 ม.2 ต.แม่เหียะ อ.เมือง จ.เชียงใหม่ 50100  ,18.757285,98.939909,EleX
100.556165,13.820229,กระทรวงพลังงาน,"CCS2 50 kW, CHAdeMO 50 kW, Type2 22 kW
Type2 7 kW",50 kW,555/2 วิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,13.820229,100.556165,EleX
101.444981,12.991868,Superfast by UAC (EECi),"CCS2 50 kW, CHAdeMO 50 kW, Type2 43 kW",50 kW,ระยอง,12.991868,101.444981,EleX
99.907895,12.996078,ChargeROD @Petchburi เพชรบุรี,"CCS2 40 kW, CHAdeMO 40 kW",40 kW,69 หมู่ที่ 3 ถนนเพชรเกษม ตำบลท่ายาง อำเภอท่ายาง จังหวัดเพชรบุรี 76130,12.996078,99.907895,EleX
100.321744,13.786948,ศูนย์การแพทย์กาญจนาภิเษก,"CCS2 30 kW
Type2 22 kW",30 kW,"888 Borommaratchachonnani Rd, Salaya, Phutthamonthon District, Nakhon Pathom 73170",13.786948,100.321744,EleX
